Unit,Way,Keel_Date,Delivery_Date,Yard_Cost, Procurement_Cost,Facilities_Cost,Admin_Cost,TC,VC,FC,Yard,Direct_Hours,Indirect_Hours,Total_ManHours,Way_Days,Outfitting_Days,Total_Production_Days
28,2,3/4/42,6/5/42,1066058,888165,69388,20052.1932,2043663.193,1954223,89440.1932,Bethlehem,564478,158549,723027,68,25,93
29,5,3/9/42,6/10/42,1065146,888165,69356,20042.9484,2042709.948,1953311,89398.9484,Bethlehem,560884,157901,718785,70,23,93
30,12,3/18/42,6/16/42,1056310,888165,69038,19951.0782,2033464.078,1944475,88989.0782,Bethlehem,554282,153054,707336,65,25,90
31,3,3/18/42,6/13/42,1056089,888165,69034,19949.9226,2033237.923,1944254,88983.9226,Bethlehem,554884,152909,707793,65,22,87
32,6,3/31/42,6/22/42,1051644,888165,68876,19904.2764,2028589.276,1939809,88780.2764,Bethlehem,548640,150633,699273,65,18,83
33,11,3/31/42,6/29/42,1049905,888165,68814,19886.3646,2026770.365,1938070,88700.3646,Bethlehem,544943,149604,694547,75,15,90
34,4,4/6/42,6/26/42,1046826,888165,68705,19854.8745,2023550.875,1934991,88559.8745,Bethlehem,546066,148024,694090,63,18,81
35,13,4/14/42,7/6/42,1052507,888165,68907,19913.2323,2029492.232,1940672,88820.2323,Bethlehem,544209,149978,694187,65,18,83
36,7,4/14/42,6/30/42,1046847,888165,68706,19855.1634,2023573.163,1935012,88561.1634,Bethlehem,542017,147752,689769,61,16,77
37,1,4/25/42,7/7/42,1054457,888165,68976,19933.1664,2031531.166,1942622,88909.1664,Bethlehem,542519,149693,692212,58,15,73
38,9,4/29/42,7/13/42,1063145,888165,69284,20022.1476,2040616.148,1951310,89306.1476,Bethlehem,538819,149046,687865,58,17,75
39,14,5/2/42,7/18/42,1074509,888165,69688,20138.8632,2052500.863,1962674,89826.8632,Bethlehem,533755,148721,682476,63,14,77
40,8,5/8/42,7/21/42,1072020,888165,69600,20113.44,2049898.44,1960185,89713.44,Bethlehem,534851,148695,683546,57,17,74
41,2,5/13/42,7/24/42,1071644,888165,69586,20109.3954,2049504.395,1959809,89695.3954,Bethlehem,530827,146530,677357,52,20,72
42,10,5/15/42,7/25/42,1075325,888165,69717,20147.2413,2053354.241,1963490,89864.2413,Bethlehem,530745,146587,677332,56,15,71
43,5,5/19/42,7/28/42,1075921,888165,69738,20153.3082,2053977.308,1964086,89891.3082,Bethlehem,529786,146583,676369,55,15,70
44,3,5/24/42,7/29/42,1079705,888165,69872,20192.0208,2057934.021,1967870,90064.0208,Bethlehem,529513,146638,676151,52,14,66
45,12,5/24/42,7/31/42,1086227,888165,70104,20259.0456,2064755.046,1974392,90363.0456,Bethlehem,528678,146731,675409,62,6,68
46,15,6/1/42,7/30/42,1088696,888165,70192,20284.4688,2067337.469,1976861,90476.4688,Bethlehem,528003,146616,674619,51,8,59
47,6,6/6/42,8/8/42,1086055,888165,70098,20257.3122,2064575.312,1974220,90355.3122,Bethlehem,525670,147253,672923,53,10,63
48,4,6/10/42,8/10/42,1084000,888165,70025,20236.2225,2062426.223,1972165,90261.2225,Bethlehem,522711,147627,670338,51,10,61
49,11,6/15/42,8/17/42,1078710,888165,69837,20181.9093,2056893.909,1966875,90018.9093,Bethlehem,518430,148358,666788,52,11,63
50,7,6/15/42,8/21/42,1075732,888165,69731,20151.2859,2053779.286,1963897,89882.2859,Bethlehem,516183,148743,664926,56,11,67
51,13,6/20/42,8/18/42,1081434,888165,69934,20209.9326,2059742.933,1969599,90143.9326,Bethlehem,517708,148490,666198,48,11,59
52,1,6/24/42,8/25/42,1074809,888165,69699,20142.0411,2052815.041,1962974,89841.0411,Bethlehem,512788,148853,661641,52,10,62
53,16,6/27/42,8/27/42,1077718,888165,69802,20171.7978,2055856.798,1965883,89973.7978,Bethlehem,509530,149151,658681,52,9,61
54,9,6/28/42,8/29/42,1079098,888165,69851,20185.9539,2057299.954,1967263,90036.9539,Bethlehem,509826,149170,658996,52,10,62
55,8,7/5/42,8/31/42,1076481,888165,69758,20159.0862,2054563.086,1964646,89917.0862,Bethlehem,506511,149672,656183,51,6,57
56,2,7/6/42,9/5/42,1075184,888165,69712,20145.7968,2053206.797,1963349,89857.7968,Bethlehem,505705,149661,655366,46,15,61
57,14,7/6/42,9/9/42,1071570,888165,69584,20108.8176,2049427.818,1959735,89692.8176,Bethlehem,503400,149583,652983,52,13,65
58,10,7/11/42,9/14/42,1068439,888165,69472,20076.4608,2046152.461,1956604,89548.4608,Bethlehem,501475,149572,651047,51,14,65
59,5,7/14/42,9/10/42,1071549,888165,69583,20108.5287,2049405.529,1959714,89691.5287,Bethlehem,502907,149216,652123,45,13,58
60,3,7/16/42,9/14/42,1065106,888165,69354,20042.3706,2042667.371,1953271,89396.3706,Bethlehem,499374,149517,648891,46,14,60
61,15,7/23/42,9/16/42,1060017,888165,69173,19990.0797,2037345.08,1948182,89163.0797,Bethlehem,496237,149492,645729,46,9,55
62,12,7/28/42,9/19/42,1056991,888165,69067,19959.4563,2034182.456,1945156,89026.4563,Bethlehem,494603,149637,644240,41,12,53
63,6,7/30/42,9/22/42,1042994,888165,68569,19815.5841,2019543.584,1931159,88384.5841,Bethlehem,493974,149338,643312,39,15,54
64,4,8/2/42,9/24/42,1042919,888165,68566,19814.7174,2019464.717,1931084,88380.7174,Bethlehem,490456,149525,639981,42,11,53
65,11,8/8/42,9/26/42,1044622,888165,68627,19832.3403,2021246.34,1932787,88459.3403,Bethlehem,489386,149926,639312,42,7,49
66,13,8/9/42,9/30/42,1045796,888165,68668,19844.1852,2022473.185,1933961,88512.1852,Bethlehem,489300,150096,639396,43,9,52
67,7,8/11/42,9/30/42,1045728,888165,68666,19843.6074,2022402.607,1933893,88509.6074,Bethlehem,489218,150099,639317,42,8,50
68,16,8/19/42,10/7/42,1047783,888165,68739,19864.6971,2024551.697,1935948,88603.6971,Bethlehem,488270,150574,638844,38,11,49
69,14,8/29/42,10/17/42,1053202,888165,68931,19920.1659,2030218.166,1941367,88851.1659,Bethlehem,486442,151913,638355,42,7,49
70,15,9/8/42,10/23/42,1057253,888165,69075,19961.7675,2034454.768,1945418,89036.7675,Bethlehem,485134,152945,638079,32,13,45
71,13,9/23/42,10/31/42,1059986,888165,69172,19989.7908,2037312.791,1948151,89161.7908,Bethlehem,483018,154105,637123,31,7,38
72,16,9/28/42,11/10/42,1060049,888165,69175,19990.6575,2037379.658,1948214,89165.6575,Bethlehem,480518,153705,634223,33,10,43
73,15,10/11/42,11/27/42,1061559,888165,69228,20005.9692,2038957.969,1949724,89233.9692,Bethlehem,473838,152920,626758,28,19,47
74,14,10/12/42,11/30/42,1061765,888165,69235,20007.9915,2039172.992,1949930,89242.9915,Bethlehem,473260,152757,626017,31,18,49
75,13,10/26/42,12/8/42,1064910,888165,69347,20040.3483,2042462.348,1953075,89387.3483,Bethlehem,472562,152442,625004,30,13,43
76,16,11/2/42,12/15/42,1065158,888165,69356,20042.9484,2042721.948,1953323,89398.9484,Bethlehem,472062,151867,623929,26,17,43
77,15,11/10/42,12/21/42,1071114,888165,69567,20103.9063,2048949.906,1959279,89670.9063,Bethlehem,474265,151940,626205,27,14,41
78,14,11/14/42,12/30/42,1073324,888165,69646,20126.7294,2051261.729,1961489,89772.7294,Bethlehem,475975,151951,627926,35,11,46
79,13,11/26/42,1/19/43,1072856,888165,69629,20121.8181,2050771.818,1961021,89750.8181,Bethlehem,471735,152344,624079,44,10,54
80,16,11/29/42,1/11/43,1076324,888165,69752,20157.3528,2054398.353,1964489,89909.3528,Bethlehem,477568,152293,629861,29,14,43
81,12,12/2/42,1/15/43,1077871,888165,69807,20173.2423,2056016.242,1966036,89980.2423,Bethlehem,477058,152331,629389,26,18,44
82,11,12/7/42,2/6/43,1074665,888165,69693,20140.3077,2052663.308,1962830,89833.3077,Bethlehem,468082,152565,620647,45,16,61
83,3,12/7/42,1/28/43,1075897,888165,69737,20153.0193,2053952.019,1964062,89890.0193,Bethlehem,470559,152585,623144,39,13,52
84,15,12/9/42,1/31/43,1075088,888165,69709,20144.9301,2053106.93,1963253,89853.9301,Bethlehem,468215,152716,620931,40,13,53
85,9,12/12/42,2/22/43,1074267,888165,69679,20136.2631,2052247.263,1962432,89815.2631,Bethlehem,466809,152317,619126,49,23,72
86,6,12/14/42,2/11/43,1074617,888165,69692,20140.0188,2052614.019,1962782,89832.0188,Bethlehem,467291,152498,619789,42,17,59
87,4,12/15/42,2/23/43,1073858,888165,69665,20132.2185,2051820.219,1962023,89797.2185,Bethlehem,465776,152280,618056,53,17,70
88,7,12/15/42,2/17/43,1074208,888165,69677,20135.6853,2052185.685,1962373,89812.6853,Bethlehem,466349,152368,618717,44,20,64
89,14,12/22/42,2/15/43,1073496,888165,69652,20128.4628,2051441.463,1961661,89780.4628,Bethlehem,464375,152420,616795,45,10,55
90,8,12/22/42,2/28/43,1073464,888165,69651,20128.1739,2051408.174,1961629,89779.1739,Bethlehem,465074,151913,616987,53,15,68
91,1,12/24/42,3/2/43,1073397,888165,69648,20127.3072,2051337.307,1961562,89775.3072,Bethlehem,464702,151973,616675,50,18,68
92,16,12/31/42,2/26/43,1073483,888165,69652,20128.4628,2051428.463,1961648,89780.4628,Bethlehem,464521,152152,616673,42,15,57
93,12,12/31/42,3/8/43,1071791,888165,69591,20110.8399,2049657.84,1959956,89701.8399,Bethlehem,464222,151287,615509,51,16,67
94,10,1/1/43,3/3/43,1072829,888165,69628,20121.5292,2050743.529,1960994,89749.5292,Bethlehem,464223,151702,615925,48,13,61
95,13,1/11/43,3/6/43,1072492,888165,69616,20118.0624,2050391.062,1960657,89734.0624,Bethlehem,464126,151520,615646,39,15,54
96,5,1/12/43,3/9/43,1071165,888165,69569,20104.4841,2049003.484,1959330,89673.4841,Bethlehem,463638,151033,614671,41,15,56
97,3,1/17/43,3/16/43,1067726,888165,69447,20069.2383,2045407.238,1955891,89516.2383,Bethlehem,462327,149849,612176,43,15,58
98,15,1/20/43,3/13/43,1068684,888165,69481,20079.0609,2046409.061,1956849,89560.0609,Bethlehem,462715,150054,612769,38,14,52
99,11,1/23/43,3/23/43,1065166,888165,69356,20042.9484,2042729.948,1953331,89398.9484,Bethlehem,461247,148995,610242,45,14,59
100,2,1/25/43,4/6/43,1068726,888165,69483,20079.6387,2046453.639,1956891,89562.6387,Bethlehem,462753,150176,612929,44,27,71
101,6,1/27/43,3/18/43,1067101,888165,69425,20062.8825,2044753.883,1955266,89487.8825,Bethlehem,462003,149547,611550,35,15,50
102,7,1/30/43,3/26/43,1063757,888165,69306,20028.5034,2041256.503,1951922,89334.5034,Bethlehem,460732,148488,609220,40,15,55
103,9,1/31/43,3/31/43,1064265,888165,69324,20033.7036,2041787.704,1952430,89357.7036,Bethlehem,460900,148553,609453,38,21,59
104,14,2/6/43,3/22/43,1065435,888165,69330,20035.437,2042965.437,1953600,89365.437,Bethlehem,460872,148587,609459,28,16,44
105,4,2/8/43,3/29/43,1059141,888165,69142,19981.1238,2036429.124,1947306,89123.1238,Bethlehem,458603,147100,605703,38,11,49
106,16,2/13/43,3/29/43,1059735,888165,69169,19988.9241,2037057.924,1947900,89157.9241,Bethlehem,458784,147245,606029,31,13,44
107,1,2/13/43,4/7/43,1054439,888165,68975,19932.8775,2031511.878,1942604,88907.8775,Bethlehem,456627,146091,602718,41,12,53
108,8,2/15/43,3/31/43,1057682,888165,69090,19966.101,2034903.101,1945847,89056.101,Bethlehem,457869,146666,604535,32,12,44
109,10,2/19/43,4/5/43,1054626,888165,68982,19934.8998,2031707.9,1942791,88916.8998,Bethlehem,456580,146026,602606,34,11,45
110,13,2/20/43,4/3/43,1056255,888165,69040,19951.656,2033411.656,1944420,88991.656,Bethlehem,457021,146240,603261,32,10,42
111,12,2/21/43,4/10/43,1048233,888165,68755,19869.3195,2025022.32,1936398,88624.3195,Bethlehem,453662,144813,598475,37,11,48
112,5,2/23/43,4/8/43,1051417,888165,68868,19901.9652,2028351.965,1939582,88769.9652,Bethlehem,454733,145216,599949,32,12,44
113,15,2/28/43,4/12/43,1043924,888165,68602,19825.1178,2020516.118,1932089,88427.1178,Bethlehem,451759,143822,595581,31,12,43
114,2,3/1/43,4/16/43,1037391,888165,68370,19758.093,2013684.093,1925556,88128.093,Bethlehem,449235,142805,592040,37,9,46
115,3,3/2/43,4/22/43,1035456,888165,68301,19738.1589,2011660.159,1923621,88039.1589,Bethlehem,448459,142463,590922,39,12,51
116,6,3/4/43,4/13/43,1040008,888165,68463,19784.9607,2016420.961,1928173,88247.9607,Bethlehem,450190,143111,593301,31,9,40
117,14,3/8/43,4/17/43,1036403,888165,68335,19747.9815,2012650.982,1924568,88082.9815,Bethlehem,448765,142547,591312,30,10,40
118,11,3/10/43,4/22/43,1030304,888165,68118,19685.2902,2006272.29,1918469,87803.2902,Bethlehem,446394,141668,588062,34,9,43
119,9,3/11/43,4/26/43,1029663,888165,68096,19678.9344,2005602.934,1917828,87774.9344,Bethlehem,446132,141574,587706,35,11,46
120,7,3/12/43,4/24/43,1030700,888165,68132,19689.3348,2006686.335,1918865,87821.3348,Bethlehem,446514,141718,588232,32,11,43
121,16,3/17/43,4/27/43,1027656,888165,68024,19658.1336,2003503.134,1915821,87682.1336,Bethlehem,445314,141277,586591,31,10,41
122,4,3/19/43,4/30/43,1023203,888165,67866,19612.4874,1998846.487,1911368,87478.4874,Bethlehem,443590,140640,584230,35,7,42
123,8,3/20/43,4/30/43,1024106,888165,67898,19621.7322,1999790.732,1912271,87519.7322,Bethlehem,443902,140754,584656,33,8,41
124,13,3/25/43,5/1/43,1021133,888165,67793,19591.3977,1996682.398,1909298,87384.3977,Bethlehem,442635,140270,582905,30,7,37
125,10,3/26/43,5/8/43,1019357,888165,67730,19573.197,1994825.197,1907522,87303.197,Bethlehem,440726,139233,579959,34,9,43
126,1,3/27/43,5/10/43,1017604,888165,67667,19554.9963,1992990.996,1905769,87221.9963,Bethlehem,439487,138621,578108,34,10,44
127,5,3/28/43,5/6/43,1018956,888165,67715,19568.8635,1994404.864,1907121,87283.8635,Bethlehem,441130,139545,580675,29,10,39
128,12,3/31/43,5/12/43,1015169,888165,67581,19530.1509,1990445.151,1903334,87111.1509,Bethlehem,437918,137868,575786,34,8,42
129,15,4/1/43,5/26/43,1015609,888165,67597,19534.7733,1990905.773,1903774,87131.7733,Bethlehem,438541,138234,576775,31,24,55
130,6,4/5/43,5/15/43,1014250,888165,67548,19520.6172,1989483.617,1902415,87068.6172,Bethlehem,436986,137368,574354,32,8,40
131,2,4/8/43,5/24/43,892948,888165,63241,18276.3249,1862630.325,1781113,81517.3249,Bethlehem,378021,118580,496601,36,10,46
132,14,4/8/43,5/20/43,1013932,888165,67537,19517.4393,1989151.439,1902097,87054.4393,Bethlehem,436273,136946,573219,33,9,42
133,3,4/11/43,5/20/43,892821,888165,63237,18275.1693,1862498.169,1780986,81512.1693,Bethlehem,378020,118607,496627,32,7,39
134,11,4/13/43,5/26/43,1012816,888165,67497,19505.8833,1987983.883,1900981,87002.8833,Bethlehem,433719,135425,569144,33,10,43
135,7,4/14/43,5/21/43,1012974,888165,67503,19507.6167,1988149.617,1901139,87010.6167,Bethlehem,434146,135686,569832,28,9,37
136,9,4/16/43,5/27/43,1012569,888165,67489,19503.5721,1987726.572,1900734,86992.5721,Bethlehem,433229,135122,568351,32,9,41
137,16,4/18/43,5/27/43,1010981,888165,67432,19487.1048,1986065.105,1899146,86919.1048,Bethlehem,432869,134993,567862,29,10,39
138,8,4/23/43,5/31/43,1009496,888165,67380,19472.082,1984513.082,1897661,86852.082,Bethlehem,430656,133672,564328,29,9,38
139,4,4/24/43,5/31/43,1008584,888165,67347,19462.5483,1983558.548,1896749,86809.5483,Bethlehem,430078,133348,563426,30,7,37
140,13,4/25/43,5/29/43,1007410,888165,67305,19450.4145,1982330.415,1895575,86755.4145,Bethlehem,429853,133236,563089,26,8,34
141,5,4/27/43,5/31/43,1007202,888165,67298,19448.3922,1982113.392,1895367,86746.3922,Bethlehem,429458,133010,562468,24,10,34
142,10,4/30/43,6/9/43,1005850,888165,67250,19434.525,1980699.525,1894015,86684.525,Bethlehem,427878,132034,559912,28,12,40
143,1,5/1/43,6/22/43,1005371,888165,67233,19429.6137,1980198.614,1893536,86662.6137,Bethlehem,427270,131617,558887,30,22,52
144,15,5/3/43,6/10/43,1005089,888165,67223,19426.7247,1979903.725,1893254,86649.7247,Bethlehem,427118,131615,558733,27,11,38
145,12,5/5/43,6/12/43,1004771,888165,67212,19423.5468,1979571.547,1892936,86635.5468,Bethlehem,426868,131442,558310,27,11,38
146,6,5/8/43,6/15/43,1004642,888165,67207,19422.1023,1979436.102,1892807,86629.1023,Bethlehem,426759,131346,558105,25,13,38
147,14,5/12/43,6/16/43,1004355,888165,67197,19419.2133,1979136.213,1892520,86616.2133,Bethlehem,426512,131112,557624,25,10,35
148,7,5/12/43,6/24/43,1004256,888165,67194,19418.3466,1979033.347,1892421,86612.3466,Bethlehem,426404,130952,557356,28,15,43
149,3,5/14/43,6/22/43,1003874,888165,67180,19414.302,1978633.302,1892039,86594.302,Bethlehem,426167,130785,556952,27,12,39
150,2,5/15/43,6/29/43,1003479,888165,67169,19411.1241,1978224.124,1891644,86580.1241,Bethlehem,425893,130552,556445,34,11,45
151,11,5/17/43,6/28/43,1002961,888165,67148,19405.0572,1977679.057,1891126,86553.0572,Bethlehem,425579,130489,556068,25,17,42
152,16,5/18/43,6/25/43,1002348,888165,67126,19398.7014,1977037.701,1890513,86524.7014,Bethlehem,425272,130312,555584,25,13,38
153,9,5/19/43,6/28/43,1002012,888165,67114,19395.2346,1976686.235,1890177,86509.2346,Bethlehem,425030,130111,555141,25,15,40
154,13,5/22/43,6/30/43,1001974,888165,67112,19394.6568,1976645.657,1890139,86506.6568,Bethlehem,424987,130048,555035,28,11,39
155,5,5/22/43,6/30/43,1001928,888165,67111,19394.3679,1976598.368,1890093,86505.3679,Bethlehem,424939,129976,554915,24,15,39
156,8,5/22/43,7/2/43,1001592,888165,67099,19390.9011,1976246.901,1889757,86489.9011,Bethlehem,424855,129931,554786,32,9,41
157,4,5/25/43,7/6/43,999322,888165,67018,19367.5002,1973872.5,1887487,86385.5002,Bethlehem,424270,129602,553872,32,10,42
158,10,5/28/43,7/8/43,996286,888165,66911,19336.5879,1970698.588,1884451,86247.5879,Bethlehem,423250,128997,552247,31,10,41
159,15,5/31/43,7/12/43,994586,888165,66850,19318.965,1968919.965,1882751,86168.965,Bethlehem,422821,128768,551589,29,13,42
160,1,5/31/43,7/20/43,987626,888165,66603,19247.6067,1961641.607,1875791,85850.6067,Bethlehem,421122,127927,549049,41,9,50
161,12,6/1/43,7/12/43,993522,888165,66812,19307.9868,1967806.987,1881687,86119.9868,Bethlehem,422458,128566,551024,29,12,41
162,6,6/2/43,7/14/43,990737,888165,66713,19279.3857,1964894.386,1878902,85992.3857,Bethlehem,421775,128225,550000,32,10,42
163,14,6/6/43,7/19/43,988073,888165,66619,19252.2291,1962109.229,1876238,85871.2291,Bethlehem,421029,127854,548883,34,9,43
164,7,6/9/43,7/26/43,983220,888165,66447,19202.5383,1957034.538,1871385,85649.5383,Bethlehem,419727,127202,546929,37,10,47
165,3,6/10/43,7/28/43,981903,888165,66400,19188.96,1955656.96,1870068,85588.96,Bethlehem,419309,126993,546302,38,10,48
166,11,6/11/43,7/23/43,982798,888165,66432,19198.2048,1956593.205,1870963,85630.2048,Bethlehem,419478,127072,546550,31,11,42
167,16,6/12/43,7/29/43,981838,888165,66398,19188.3822,1955589.382,1870003,85586.3822,Bethlehem,419052,126843,545895,34,13,47
168,9,6/13/43,7/26/43,979914,888165,66329,19168.4481,1953576.448,1868079,85497.4481,Bethlehem,418536,126583,545119,32,11,43
169,5,6/15/43,7/30/43,975966,888165,66189,19128.0021,1949448.002,1864131,85317.0021,Bethlehem,417405,126017,543422,38,7,45
170,2,6/18/43,7/31/43,973004,888165,66084,19097.6676,1946350.668,1861169,85181.6676,Bethlehem,416586,125612,542198,36,7,43
171,13,6/19/43,7/30/43,971999,888165,66048,19087.2672,1945299.267,1860164,85135.2672,Bethlehem,415927,125267,541194,33,8,41
172,8,6/23/43,8/6/43,978245,888165,66270,19151.403,1951831.403,1866410,85421.403,Bethlehem,414719,124571,539290,35,9,44
173,4,6/26/43,8/10/43,919843,888165,64196,18552.2244,1890756.224,1808008,82748.2244,Bethlehem,414842,124369,539211,35,10,45
174,10,6/28/43,7/31/43,913168,888165,63959,18483.7551,1883775.755,1801333,82442.7551,Bethlehem,415300,124757,540057,27,6,33
175,15,6/29/43,8/9/43,917049,888165,64097,18523.6233,1887834.623,1805214,82620.6233,Bethlehem,414639,124315,538954,29,12,41
176,12,6/30/43,8/9/43,917423,888165,64110,18527.379,1888225.379,1805588,82637.379,Bethlehem,414350,124150,538500,29,11,40
177,6,7/4/43,8/12/43,918247,888165,64140,18536.046,1889088.046,1806412,82676.046,Bethlehem,412756,123422,536178,30,9,39
178,14,7/10/43,8/13/43,920577,888165,64222,18559.7358,1891523.736,1808742,82781.7358,Bethlehem,412168,123092,535260,26,8,34
179,1,7/12/43,8/19/43,924256,888165,64353,18597.5817,1895371.582,1812421,82950.5817,Bethlehem,410124,122100,532224,30,8,38
180,11,7/12/43,8/16/43,922497,888165,64291,18579.6699,1893532.67,1810662,82870.6699,Bethlehem,410338,122253,532591,28,7,35
181,9,7/15/43,8/23/43,926879,888165,64446,18624.4494,1898114.449,1815044,83070.4494,Bethlehem,409807,121872,531679,29,10,39
182,16,7/16/43,8/18/43,924462,888165,64446,18624.4494,1895697.449,1812627,83070.4494,Bethlehem,410099,122082,532181,25,8,33
183,7,7/16/43,8/20/43,925977,888165,64414,18615.2046,1897171.205,1814142,83029.2046,Bethlehem,409916,121949,531865,27,8,35
184,3,7/18/43,8/23/43,928964,888165,64520,18645.828,1900294.828,1817129,83165.828,Bethlehem,409553,121690,531243,27,9,36
185,13,7/22/43,8/26/43,931787,888165,64620,18674.718,1903246.718,1819952,83294.718,Bethlehem,409210,121443,530653,27,8,35
186,5,7/23/43,8/27/43,931140,888165,64597,18668.0733,1902570.073,1819305,83265.0733,Bethlehem,408694,121037,529731,27,8,35
187,2,7/24/43,9/2/43,932393,888165,64642,18681.0738,1903881.074,1820558,83323.0738,Bethlehem,407943,120534,528477,32,8,40
188,10,7/25/43,8/30/43,932497,888165,64646,18682.2294,1903990.229,1820662,83328.2294,Bethlehem,407786,120332,528118,27,9,36
189,8,7/28/43,9/3/43,932472,888165,64645,18681.9405,1903963.941,1820637,83326.9405,Bethlehem,407213,120041,527254,29,8,37
190,15,7/28/43,8/30/43,933803,888165,64692,18695.5188,1905355.519,1821968,83387.5188,Bethlehem,407465,120098,527563,25,8,33
191,12,7/29/43,9/1/43,933784,888165,64691,18695.2299,1905335.23,1821949,83386.2299,Bethlehem,407187,119935,527122,26,8,34
192,4,7/31/43,9/6/43,934511,888165,64717,18702.7413,1906095.741,1822676,83419.7413,Bethlehem,406608,119636,526244,28,9,37
193,6,8/3/43,9/8/43,933595,888165,64685,18693.4965,1905138.497,1821760,83378.4965,Bethlehem,406185,119457,525642,28,8,36
194,14,8/5/43,9/7/43,933979,888165,64698,18697.2522,1905539.252,1822144,83395.2522,Bethlehem,406328,119515,525843,25,8,33
195,11,8/9/43,9/11/43,931978,888165,64627,18676.7403,1903446.74,1820143,83303.7403,Bethlehem,405581,119212,524793,25,8,33
196,16,8/10/43,9/12/43,931372,888165,64606,18670.6734,1902813.673,1819537,83276.6734,Bethlehem,405354,119120,524474,25,8,33
197,1,8/11/43,9/18/43,811970,855740,59215,17113.2135,1744038.214,1667710,76328.2135,Bethlehem,350850,103155,454005,32,6,38
198,7,8/12/43,9/15/43,929671,888165,64545,18653.0505,1901034.051,1817836,83198.0505,Bethlehem,404709,118856,523565,25,9,34
199,9,8/13/43,9/16/43,929445,888165,64537,18650.7393,1900797.739,1817610,83187.7393,Bethlehem,404625,118822,523447,25,9,34
